1	0	1	0	1	2	223	4
2	3	1	1	2	3	59	4
3	1	2	1	2	2	147	32
4	3	1	6	2	3	202	32
5	0	2	0	1	2	284	3
6	3	1	6	2	3	3	4
7	2	0	2	3	0	120	8
8	0	3	0	1	2	99	3
9	2	3	5	2	3	230	32
10	0	2	0	1	3	36	32
11	2	3	1	2	3	45	8
12	0	2	0	1	2	282	8
13	0	1	0	1	2	213	8
14	3	0	3	3	0	115	4
15	2	1	4	2	3	229	32
16	0	3	0	1	2	74	8
17	1	2	2	2	3	120	3
18	1	0	1	3	0	255	3
19	1	0	1	3	0	2	32
20	0	1	0	1	2	80	32
21	1	2	2	2	3	262	32
22	2	3	5	2	3	281	8
23	2	0	2	3	0	31	4
24	3	2	7	2	3	26	32
25	1	2	2	2	2	35	4
26	1	0	1	3	0	281	32
27	0	3	0	1	2	146	32
28	3	0	3	3	0	289	8
29	2	3	5	2	3	116	3
30	2	1	4	2	2	8	8
31	1	0	1	3	0	263	8
32	2	0	2	3	0	269	3
33	0	1	0	1	2	189	32
34	0	2	0	1	2	170	32
35	1	3	3	2	3	244	3
36	3	1	6	2	2	249	4
37	1	0	4	3	0	310	4
38	0	3	0	1	2	119	8
39	0	1	0	1	2	42	8
40	0	2	0	1	2	33	32
41	1	2	1	2	2	307	8
42	1	2	2	2	3	31	4
43	3	2	1	2	3	175	32
44	2	0	1	3	0	263	4
45	1	0	5	3	0	18	8
46	0	2	0	1	2	64	4
47	0	2	0	1	3	174	32
48	0	1	0	1	2	217	3
49	1	0	1	3	0	231	4
50	0	2	0	1	3	121	3
51	0	3	0	1	2	256	32
52	0	3	0	1	2	46	8
53	2	0	1	3	0	235	3
54	2	3	5	2	2	159	32
55	3	2	7	2	2	113	8
56	1	2	2	2	3	85	3
57	0	2	0	1	2	253	32
58	2	0	2	3	0	228	3
59	3	1	6	2	3	73	32
60	0	2	0	1	2	142	8
61	0	3	0	1	2	12	8
62	1	2	1	2	3	64	8
63	2	3	5	2	2	160	32
64	2	1	4	2	3	12	32
65	2	1	4	2	3	253	32
66	0	1	0	1	2	169	4
67	2	0	2	3	0	286	32
68	2	0	1	3	0	157	8
69	0	1	0	1	2	17	8
70	1	0	5	3	0	244	4
71	2	0	3	3	0	81	8
72	0	1	0	1	2	68	32
73	2	3	5	2	3	34	8
74	3	1	6	2	3	124	32
75	2	0	1	3	0	108	32
76	0	1	0	1	2	174	8
77	3	0	5	3	0	42	8
78	1	0	6	3	0	68	8
79	1	0	1	3	0	290	4
80	1	0	4	3	0	246	3
81	2	1	4	2	3	128	32
82	0	1	0	1	2	225	32
83	3	1	6	2	2	270	8
84	2	3	5	2	3	120	3
85	3	1	6	2	3	54	32
86	1	0	1	3	0	196	4
87	3	0	3	3	0	260	3
88	3	1	6	2	3	137	3
89	1	0	5	3	0	148	32
90	3	1	6	2	3	227	8
91	2	3	5	2	2	46	4
92	3	1	6	2	3	145	32
93	1	2	1	2	2	73	8
94	1	0	6	3	0	57	32
95	2	1	1	2	3	136	4
96	3	0	5	3	0	117	32
97	0	1	0	1	2	216	32
98	0	2	0	1	2	185	3
99	1	2	1	2	3	297	4
100	3	0	5	3	0	98	3
101	1	0	1	3	0	199	32
102	0	1	0	1	2	140	32
103	3	0	5	3	0	217	3
104	0	1	0	1	2	77	32
105	2	0	3	3	0	161	32
106	3	0	1	3	0	171	32
107	2	3	5	2	2	276	32
108	2	0	6	3	0	274	3
109	2	3	5	2	3	128	32
110	3	1	6	2	3	241	8
111	1	0	6	3	0	172	8
112	1	0	1	3	0	69	4
113	3	0	3	3	0	176	32
114	0	1	0	1	2	38	8
115	1	3	1	2	3	195	4
116	0	2	0	1	2	12	32
117	0	2	0	1	2	210	32
118	0	3	0	1	2	106	4
119	1	2	2	2	2	242	8
120	2	0	3	3	0	273	32
121	3	1	6	2	3	220	32
122	0	1	0	1	2	138	32
123	1	2	1	2	3	212	4
124	3	1	6	2	3	237	3
125	3	1	2	2	3	109	8
126	2	0	1	3	0	284	4
127	1	2	2	2	2	9	32
128	3	1	6	2	3	212	8
129	3	2	7	2	3	45	4
130	2	1	4	2	2	167	8
