0,2,16
2,3,1
1,2,1
0,3,1
2,3,4
1,3,1
1,2,2
0,2,2
1,2,16
0,3,4
0,3,16
2,3,16
1,2,4
2,3,1
0,1,1
0,1,2
0,2,2
2,3,1
0,2,4
0,2,4
1,2,1
1,3,1
1,3,4
0,2,4
1,2,4
2,3,2
0,2,16
0,1,4
0,2,4
0,2,1
1,2,16
1,2,4
0,3,2
1,3,4
2,3,4
1,3,16
1,3,16
0,1,2
0,3,1
2,3,4
0,2,4
1,2,2
1,2,16
0,2,2
0,3,2
1,3,4
0,1,4
2,3,2
2,3,4
0,3,1
0,3,2
0,3,4
0,2,2
1,3,16
2,3,1
0,1,2
1,3,4
0,1,1
1,2,2
0,1,16
2,3,1
1,2,1
2,3,2
1,2,2
0,1,1
1,2,2
0,2,16
1,3,1
0,1,1
1,2,2
0,3,4
1,3,1
1,3,16
2,3,4
1,3,1
1,2,16
1,2,16
0,3,4
2,3,16
0,1,2
1,3,1
0,2,16
1,2,16
0,2,16
0,3,4
0,1,4
1,3,4
0,2,1
2,3,4
0,3,16
0,1,16
0,2,16
2,3,4
1,2,1
1,3,2
2,3,1
1,2,1
0,3,2
1,3,1
0,3,2
1,2,1
1,2,16
2,3,4
1,3,16
2,3,2
1,3,4
2,3,4
0,1,4
0,2,4
1,2,4
2,3,1
0,2,16
1,2,1
2,3,2
0,3,4
1,2,4
1,2,16
1,2,2
0,2,2
0,1,4
1,3,1
0,2,1
2,3,1
0,3,4
1,2,2
1,3,2
1,3,16
0,2,16
0,1,2
0,1,4
0,2,2
0,1,4
0,3,1
0,2,4
0,3,16
1,3,4
0,2,1
1,3,1
1,2,16
0,1,16
1,3,2
1,2,16
2,3,2
0,1,2
2,3,1
0,2,16
0,2,1
0,3,2
0,1,16
0,3,4
0,3,2
2,3,1
0,2,4
2,3,4
1,2,16
0,2,1
0,2,2
1,2,4
0,1,1
1,2,2
0,1,2
1,2,1
2,3,1
1,2,16
0,1,16
2,3,16
1,2,1
0,2,4
1,3,2
1,3,1
2,3,16
1,3,1
0,3,1
0,3,2
0,1,1
0,1,4
0,2,2
0,3,16
0,3,2
0,2,1
1,2,1
1,2,2
2,3,4
0,1,16
2,3,1
2,3,16
0,1,16
0,1,2
0,3,1
2,3,1
0,3,1
2,3,2
0,3,4
1,3,2
0,3,16
1,3,1
0,3,4
1,3,16
0,2,4
2,3,2
0,3,16
1,3,2
1,2,4
2,3,16
1,3,2
0,1,4
2,3,4
0,2,16
1,3,2
1,3,2
0,3,4
0,1,2
2,3,2
1,2,2
2,3,2
2,3,4
0,3,2
0,3,1
0,2,2
0,3,1
1,2,4
0,3,2
1,3,4
1,3,16
0,1,4
0,1,2
0,3,2
2,3,16
0,2,4
0,1,1
0,1,16
0,3,2
2,3,4
0,1,2
1,3,2
0,3,4
1,2,4
1,2,2
1,3,2
2,3,16
0,1,16
1,2,1
1,3,4
0,3,2
0,2,1
0,3,1
0,2,1
1,3,1
1,2,16
0,1,16
2,3,4
0,3,2
2,3,16
2,3,16
0,3,1
1,2,16
0,2,16
0,1,16
0,1,2
1,3,4
0,1,1
0,3,4
0,1,1
2,3,4
1,2,2
1,2,4
0,3,4
0,1,16
1,3,4
1,2,4
2,3,4
0,3,4
1,2,2
0,2,1
0,1,2
1,2,1
0,2,16
0,1,4
1,2,1
1,3,16
0,2,16
2,3,2
0,1,2
2,3,1
0,3,2
2,3,2
0,3,4
0,1,2
1,2,16
0,3,1
1,2,2
0,1,2
0,2,4
2,3,16
0,1,4
1,3,2
0,1,2
1,3,1
0,3,16
0,3,2
1,2,2
0,1,2
0,3,1
0,2,16
1,2,16
1,2,1
0,3,16
0,1,4
0,3,1
1,3,2
0,1,1
1,3,16
1,3,16
0,3,4
0,2,1
0,1,4
1,2,2
0,2,4
2,3,16
0,2,1
0,3,16
0,2,2
0,2,4
0,2,2
0,2,4
0,1,2
1,3,4
0,2,4
2,3,2
1,2,2
2,3,2
1,2,1
0,1,4
0,3,4
0,3,1
1,3,4
0,1,16
0,2,4
2,3,4
0,1,16
1,2,4
0,3,2
0,2,4
2,3,2
0,3,1
2,3,1
0,1,16
0,1,1
1,2,4
0,3,1
0,1,2
2,3,1
2,3,4
1,3,4
0,1,4
1,2,2
1,3,4
0,2,4
1,3,4
0,3,4
0,1,2
0,2,2
1,3,1
1,3,16
1,3,1
1,3,4
0,1,1
0,2,16
2,3,1
0,2,16
1,2,1
1,3,2
1,3,1
0,3,16
1,3,2
0,1,2
