1node1	2node2	3port	4operation	5startwave	6bandwidth
2	1	5	2	115	9
2	0	3	3	2	1
1	0	4	3	167	1
0	1	0	1	263	1
3	2	6	2	111	1
0	3	0	1	193	6
1	0	5	3	240	3
2	0	7	3	93	7
3	0	2	3	235	7
0	3	0	1	263	5
2	0	2	3	304	9
3	0	2	3	121	3
1	3	2	2	169	3
3	0	5	3	223	6
2	1	1	2	271	9
0	1	0	1	299	5
2	0	7	3	225	6
1	3	6	2	281	1
3	0	5	3	96	10
1	2	2	2	22	4
2	3	7	2	62	5
0	2	0	1	144	9
3	1	6	2	13	7
0	3	0	1	155	10
1	0	6	3	239	5
2	0	3	3	74	7
3	0	3	3	272	5
0	2	0	1	107	7
2	3	6	2	42	2
0	1	0	1	118	1
3	0	3	3	219	10
1	2	3	2	32	8
1	2	3	2	255	3
3	2	7	2	190	2
1	3	4	2	197	7
1	3	6	2	120	3
3	2	4	2	249	5
2	3	7	2	143	8
3	0	4	3	227	5
1	3	7	2	236	10
1	3	3	2	50	8
1	2	7	2	216	8
0	3	0	1	7	4
0	3	0	1	44	1
0	3	0	1	207	7
0	3	0	1	276	7
2	0	7	3	105	2
0	3	0	1	261	3
1	2	4	2	261	1
2	0	1	3	121	6
0	2	0	1	136	4
1	2	1	2	68	9
1	2	1	2	88	4
3	1	6	2	41	1
2	0	6	3	240	4
3	1	6	2	4	7
3	0	5	3	33	3
2	0	2	3	102	2
2	3	4	2	37	5
1	2	3	2	139	5
2	3	1	2	98	10
3	1	7	2	21	7
1	2	1	2	69	3
1	3	5	2	277	5
3	1	4	2	15	7
1	2	7	2	213	9
2	0	3	3	39	5
2	1	4	2	161	5
2	3	7	2	312	5
3	2	7	2	130	6
3	2	5	2	166	5
0	1	0	1	250	4
3	0	5	3	198	10
1	0	4	3	279	8
3	1	2	2	226	1
3	1	6	2	128	5
1	2	1	2	222	8
2	3	2	2	51	7
1	2	5	2	248	4
1	2	7	2	95	10
3	1	3	2	74	1
2	3	7	2	29	8
0	2	0	1	126	7
1	0	6	3	170	5
0	2	0	1	6	5
0	1	0	1	188	1
3	1	7	2	254	4
3	0	3	3	197	5
0	2	0	1	164	9
3	2	6	2	294	9
0	3	0	1	240	6
2	0	3	3	62	3
3	1	4	2	100	9
3	0	5	3	29	7
2	3	5	2	231	9
2	0	1	3	3	10
3	2	2	2	49	10
0	1	0	1	176	8
2	3	2	2	32	5
0	3	0	1	33	9
2	1	2	2	65	7
1	3	5	2	94	8
1	2	5	2	26	4
3	2	4	2	139	2
1	0	6	3	268	6
1	3	1	2	97	1
0	3	0	1	224	5
2	0	3	3	187	3
2	1	2	2	164	6
2	1	3	2	131	3
3	0	5	3	312	5
3	2	5	2	63	6
1	3	2	2	17	3
1	2	2	2	10	6
0	2	0	1	189	1
3	1	6	2	108	1
3	2	1	2	266	3
1	0	5	3	175	10
3	2	7	2	54	4
3	2	1	2	133	6
0	1	0	1	91	6
3	2	6	2	194	3
0	3	0	1	77	3
3	1	5	2	196	8
3	2	3	2	69	8
1	2	1	2	31	6
1	0	1	3	73	8
0	3	0	1	238	8
0	1	0	1	260	7
3	0	1	3	125	7
3	0	3	3	39	6
1	3	4	2	167	6
3	2	3	2	7	8
2	3	4	2	280	3
2	3	2	2	84	8
1	2	2	2	174	7
1	0	6	3	210	2
2	0	1	3	119	3
3	2	4	2	205	9
3	0	3	3	180	10
1	2	2	2	164	2
3	1	6	2	107	5
3	1	1	2	216	7
0	2	0	1	118	7
3	2	5	2	185	1
1	3	6	2	314	3
1	2	5	2	192	5
2	3	5	2	74	10
3	0	5	3	299	4
2	0	7	3	50	5
0	1	0	1	150	6
2	3	3	2	45	8
2	1	7	2	16	9
1	3	4	2	46	7
1	2	1	2	239	6
3	2	3	2	37	6
2	1	6	2	36	7
3	2	6	2	38	9
3	0	2	3	54	10
1	0	4	3	136	4
3	1	2	2	285	2
3	0	5	3	244	9
0	1	0	1	247	5
3	2	4	2	287	2
2	0	6	3	216	7
1	2	2	2	41	5
1	3	5	2	91	7
2	1	1	2	124	8
0	1	0	1	250	10
3	0	5	3	299	8
0	1	0	1	231	7
2	1	2	2	246	6
3	1	5	2	42	8
0	2	0	1	62	8
1	3	3	2	229	4
3	1	1	2	255	4
3	0	4	3	248	9
2	1	6	2	302	1
3	0	4	3	29	1
0	3	0	1	105	5
0	2	0	1	119	9
1	0	5	3	37	9
2	0	6	3	207	5
1	3	6	2	23	10
3	1	2	2	80	10
1	0	6	3	188	9
1	3	2	2	83	5
0	3	0	1	100	5
2	0	1	3	20	4
3	1	7	2	166	9
3	0	2	3	170	4
2	1	7	2	136	6
0	2	0	1	130	7
0	3	0	1	151	8
3	2	2	2	118	3
0	1	0	1	223	6
0	1	0	1	202	10
2	1	7	2	303	8
3	1	2	2	69	2
1	3	4	2	309	10
2	0	7	3	143	4
3	0	5	3	109	2
2	3	2	2	229	8
2	0	7	3	286	8
3	2	3	2	129	6
0	3	0	1	3	5
0	3	0	1	292	6
2	0	3	3	48	8
2	1	3	2	275	1
1	2	5	2	31	4
1	2	7	2	86	6
0	1	0	1	156	4
3	0	4	3	205	6
1	3	7	2	52	4
1	0	4	3	279	10
3	1	2	2	47	1
1	0	5	3	22	5
3	0	3	3	151	5
1	3	6	2	192	8
1	0	6	3	249	3
0	2	0	1	253	10
1	2	1	2	25	9
2	1	6	2	240	1
1	2	2	2	121	3
1	0	6	3	269	1
3	2	1	2	44	6
