1node1	2node2	3port	4operation	5startwave	6bandwidth
0	2	0	1	75	3
0	3	0	1	314	1
1	2	1	2	37	3
0	1	0	1	45	2
3	0	1	3	211	3
2	0	2	3	123	1
2	0	7	3	152	1
3	2	6	2	141	3
1	3	4	2	95	2
3	2	5	2	255	3
1	2	3	2	44	1
1	0	1	3	111	2
3	2	2	2	30	3
1	0	6	3	259	1
2	3	2	2	163	1
3	2	5	2	15	2
1	0	6	3	300	1
2	0	3	3	129	1
3	2	7	2	44	3
3	2	6	2	310	3
2	3	1	2	153	3
3	0	1	3	173	3
2	3	6	2	255	1
0	2	0	1	119	2
0	3	0	1	241	2
1	2	4	2	246	3
2	3	4	2	32	2
1	2	7	2	179	2
2	0	6	3	115	3
0	3	0	1	168	3
2	3	5	2	264	3
0	1	0	1	310	2
3	0	1	3	159	3
0	2	0	1	223	2
1	0	6	3	75	3
1	2	5	2	92	3
2	1	3	2	292	2
1	0	1	3	225	3
0	1	0	1	110	3
2	0	6	3	197	2
0	3	0	1	134	2
2	3	4	2	62	1
0	2	0	1	195	1
2	3	6	2	242	1
0	3	0	1	80	2
1	3	1	2	244	2
1	2	1	2	102	3
1	0	5	3	167	2
2	0	7	3	3	1
0	1	0	1	260	2
0	1	0	1	203	2
2	3	2	2	64	2
2	1	5	2	71	3
1	0	1	3	305	2
3	2	7	2	19	2
0	1	0	1	153	1
2	1	4	2	226	1
3	1	2	2	138	3
0	3	0	1	87	1
2	0	1	3	44	3
1	3	6	2	218	3
3	1	6	2	41	1
1	0	6	3	16	1
1	0	7	3	91	2
1	0	4	3	245	1
0	3	0	1	252	3
1	2	2	2	179	2
1	0	5	3	192	3
0	3	0	1	199	2
3	2	6	2	290	2
2	1	7	2	233	3
3	0	1	3	167	1
0	1	0	1	151	1
2	0	3	3	190	1
0	2	0	1	120	1
1	3	6	2	18	3
1	3	4	2	63	2
1	3	6	2	161	3
0	2	0	1	226	2
3	1	4	2	40	2
2	0	1	3	146	2
2	3	4	2	93	1
1	0	7	3	13	1
2	1	4	2	76	2
3	2	5	2	250	2
3	2	2	2	127	1
3	1	3	2	217	2
0	2	0	1	16	3
2	1	6	2	237	2
3	2	5	2	52	3
3	2	4	2	55	3
1	0	1	3	21	3
0	1	0	1	189	1
1	2	6	2	200	3
0	3	0	1	226	2
2	1	2	2	140	1
1	2	4	2	299	3
0	2	0	1	211	3
0	3	0	1	294	3
2	0	6	3	262	1
3	1	2	2	192	3
3	2	6	2	209	3
1	3	3	2	305	2
1	3	5	2	193	1
2	0	3	3	198	3
0	2	0	1	209	3
3	0	5	3	303	3
1	3	2	2	223	1
2	3	6	2	300	3
2	3	3	2	73	3
3	1	2	2	298	3
2	1	4	2	18	2
0	3	0	1	60	2
0	2	0	1	119	1
2	3	7	2	11	3
0	1	0	1	307	2
2	3	4	2	59	2
1	3	4	2	260	1
1	3	2	2	207	2
1	3	5	2	264	2
2	1	6	2	39	2
2	3	4	2	141	2
2	0	1	3	241	1
2	1	4	2	27	3
1	2	3	2	66	3
3	0	5	3	311	2
0	3	0	1	302	3
2	3	1	2	168	1
1	0	4	3	161	1
1	3	6	2	246	2
1	0	1	3	220	2
1	2	5	2	101	1
1	2	1	2	158	2
2	0	3	3	246	3
2	3	2	2	319	1
3	1	5	2	176	1
1	0	6	3	228	3
2	0	2	3	84	2
1	0	5	3	252	1
0	1	0	1	180	3
1	2	3	2	154	2
2	3	2	2	183	2
3	1	2	2	314	3
1	2	4	2	204	1
2	3	5	2	71	2
3	1	4	2	15	2
1	0	1	3	257	2
1	0	4	3	206	2
1	2	1	2	26	1
1	0	4	3	256	2
2	1	4	2	112	1
2	0	6	3	258	1
0	1	0	1	150	2
3	0	1	3	201	2
0	1	0	1	287	1
0	3	0	1	192	3
0	1	0	1	114	3
0	1	0	1	160	1
2	1	2	2	233	1
0	1	0	1	216	3
2	0	7	3	6	2
3	2	6	2	2	1
3	0	5	3	119	1
0	1	0	1	13	3
2	0	2	3	89	3
3	2	7	2	77	1
0	3	0	1	277	1
3	2	4	2	296	3
3	0	2	3	25	3
1	2	1	2	66	3
3	2	1	2	250	1
2	3	5	2	126	1
0	3	0	1	258	2
2	3	5	2	96	3
0	2	0	1	32	3
3	0	4	3	204	2
1	3	2	2	279	2
0	2	0	1	93	2
3	2	5	2	301	1
1	0	7	3	45	1
0	2	0	1	120	3
0	1	0	1	43	3
3	2	7	2	315	2
2	0	1	3	266	3
0	2	0	1	103	3
1	2	6	2	200	3
3	2	7	2	215	3
3	1	2	2	231	3
1	2	6	2	69	3
3	2	4	2	108	3
3	2	6	2	24	2
3	2	1	2	217	1
1	3	3	2	123	2
0	2	0	1	52	3
1	0	7	3	250	1
1	0	5	3	108	1
2	3	3	2	142	3
0	1	0	1	130	3
0	1	0	1	25	2
3	1	3	2	222	1
1	2	4	2	221	3
0	3	0	1	181	1
3	0	2	3	284	1
2	0	2	3	118	1
0	1	0	1	172	1
1	0	7	3	26	1
0	1	0	1	276	1
1	3	1	2	183	1
2	3	5	2	191	3
2	3	5	2	119	2
1	3	4	2	106	2
3	0	1	3	317	3
0	2	0	1	265	1
1	0	5	3	311	1
2	1	5	2	14	1
3	2	4	2	82	1
3	0	1	3	296	1
1	0	4	3	198	1
0	3	0	1	20	3
3	2	1	2	148	3
2	1	7	2	176	1
2	0	6	3	193	2
3	0	2	3	241	3
0	1	0	1	242	1
0	2	0	1	254	2
2	0	1	3	123	1
3	1	3	2	105	2
0	2	0	1	267	3
1	2	7	2	188	1
3	0	4	3	150	3
0	3	0	1	255	3
1	0	6	3	223	2
1	3	1	2	293	1
3	0	1	3	288	1
0	3	0	1	246	1
0	2	0	1	144	2
1	0	6	3	157	1
0	1	0	1	15	1
0	2	0	1	141	2
3	2	3	2	285	2
0	2	0	1	263	1
0	1	0	1	197	1
3	1	1	2	223	1
3	2	7	2	236	1
0	2	0	1	273	3
1	2	7	2	226	3
2	3	3	2	244	1
2	0	6	3	109	1
2	3	2	2	157	2
0	2	0	1	236	1
2	1	2	2	30	3
3	1	1	2	59	1
1	0	6	3	200	2
2	0	2	3	196	3
0	2	0	1	108	1
2	1	6	2	164	2
3	1	2	2	163	2
2	3	6	2	197	1
2	0	1	3	178	3
0	1	0	1	211	3
1	3	7	2	201	3
0	3	0	1	202	1
0	1	0	1	54	1
3	1	6	2	182	3
