1node1	2node2	3port	4operation	5startwave	6bandwidth
1	3	6	2	288	1
1	0	1	3	103	2
1	0	4	3	202	1
1	3	4	2	220	2
0	1	0	1	222	1
3	2	7	2	99	1
0	3	0	1	46	1
0	1	0	1	13	1
2	0	7	3	68	2
1	3	3	2	43	2
0	3	0	1	98	1
3	0	4	3	102	2
2	0	2	3	70	2
0	1	0	1	36	2
1	3	5	2	237	1
0	2	0	1	135	2
2	3	6	2	3	1
2	0	7	3	317	1
0	2	0	1	271	2
3	1	4	2	253	1
1	2	2	2	209	2
3	0	5	3	255	2
2	3	3	2	115	1
0	3	0	1	58	2
1	3	4	2	35	1
0	2	0	1	5	2
2	0	2	3	182	2
2	3	5	2	85	2
1	0	1	3	3	1
1	3	3	2	73	1
0	2	0	1	300	2
3	2	3	2	176	2
3	1	4	2	39	2
1	2	3	2	28	1
0	2	0	1	271	2
0	2	0	1	121	2
1	2	6	2	42	2
0	2	0	1	69	1
1	0	1	3	35	1
0	1	0	1	231	2
3	0	2	3	197	2
0	3	0	1	160	1
0	3	0	1	193	2
3	2	4	2	216	1
3	2	4	2	163	1
1	2	6	2	236	1
1	0	5	3	77	1
0	2	0	1	57	1
2	0	2	3	84	1
2	3	5	2	318	1
2	1	4	2	197	2
0	1	0	1	68	1
1	2	5	2	224	2
1	0	6	3	134	1
0	2	0	1	292	2
2	1	1	2	310	2
0	1	0	1	318	1
1	3	3	2	114	1
0	3	0	1	303	2
2	3	3	2	282	1
1	2	7	2	318	1
0	1	0	1	307	1
0	3	0	1	51	2
2	0	2	3	196	2
3	2	4	2	188	1
2	1	4	2	111	2
0	3	0	1	167	2
3	2	6	2	46	1
3	0	5	3	222	1
2	3	4	2	208	1
2	0	3	3	277	1
3	2	7	2	270	1
2	1	1	2	141	1
3	2	1	2	311	2
0	3	0	1	126	2
0	2	0	1	36	1
0	3	0	1	17	1
1	2	4	2	259	1
2	1	3	2	145	1
1	0	6	3	276	1
3	2	2	2	279	1
3	0	1	3	294	2
1	3	6	2	211	1
2	1	4	2	297	1
2	3	6	2	141	1
1	3	7	2	262	2
1	2	6	2	161	1
3	2	3	2	281	1
2	3	7	2	199	1
2	0	6	3	54	1
2	1	1	2	114	2
0	2	0	1	276	1
1	2	4	2	248	2
0	3	0	1	133	2
1	2	7	2	144	2
2	1	6	2	200	1
0	1	0	1	277	2
0	2	0	1	22	2
1	0	7	3	187	2
2	0	2	3	175	1
1	0	5	3	168	2
1	0	7	3	63	1
2	1	3	2	315	1
0	3	0	1	151	1
1	3	6	2	275	2
3	1	5	2	10	1
3	0	5	3	138	1
1	2	3	2	107	1
3	2	2	2	298	1
0	1	0	1	250	1
1	0	1	3	45	2
0	3	0	1	117	2
0	3	0	1	181	1
2	3	1	2	198	1
3	2	2	2	80	2
0	3	0	1	116	2
2	0	1	3	2	1
1	2	3	2	128	2
1	2	4	2	41	1
0	2	0	1	67	2
2	1	6	2	41	1
3	2	3	2	266	1
2	3	6	2	131	2
1	0	1	3	4	2
3	1	4	2	215	2
0	2	0	1	295	2
2	1	1	2	242	2
2	3	5	2	91	2
2	1	7	2	64	2
0	2	0	1	100	1
0	3	0	1	86	1
1	0	4	3	32	2
0	2	0	1	109	2
2	0	7	3	110	2
3	1	7	2	242	2
1	2	7	2	223	1
1	0	4	3	174	1
1	2	1	2	243	2
2	3	1	2	318	2
0	2	0	1	312	2
3	1	5	2	222	1
2	1	3	2	111	2
1	3	7	2	205	2
0	3	0	1	263	2
1	2	2	2	258	2
0	1	0	1	243	1
1	0	1	3	85	2
1	2	7	2	35	2
0	1	0	1	212	2
1	0	1	3	287	1
3	0	3	3	297	1
3	2	7	2	279	1
0	2	0	1	206	2
0	2	0	1	128	2
0	1	0	1	54	1
3	0	4	3	283	2
0	1	0	1	242	2
0	3	0	1	185	1
2	0	7	3	35	2
3	1	6	2	108	2
1	3	7	2	274	2
2	1	5	2	91	1
3	0	1	3	104	2
3	2	6	2	136	2
0	2	0	1	95	2
3	2	1	2	170	1
2	0	2	3	172	2
1	0	4	3	8	2
1	0	4	3	13	2
3	2	6	2	137	1
3	2	6	2	301	1
2	3	7	2	133	2
3	0	1	3	258	1
1	2	2	2	138	2
3	2	1	2	248	1
3	1	4	2	17	2
2	0	1	3	28	2
2	1	1	2	266	2
0	3	0	1	293	1
0	1	0	1	247	1
0	1	0	1	290	2
1	3	5	2	83	1
0	2	0	1	239	1
0	2	0	1	291	2
3	1	5	2	307	2
3	2	4	2	58	1
3	1	4	2	175	2
1	2	1	2	167	1
0	3	0	1	142	1
0	3	0	1	157	2
0	1	0	1	267	1
2	0	3	3	108	1
3	0	4	3	74	1
3	1	4	2	106	2
1	3	7	2	157	2
3	0	1	3	106	1
0	1	0	1	280	2
3	1	2	2	234	2
0	1	0	1	146	2
1	0	4	3	242	2
3	0	1	3	233	1
1	3	4	2	96	2
1	3	1	2	36	1
0	2	0	1	26	2
3	2	1	2	188	1
1	3	1	2	137	1
2	1	4	2	159	1
2	3	1	2	303	2
0	1	0	1	130	2
3	1	7	2	98	1
0	2	0	1	62	2
2	1	2	2	269	1
3	2	3	2	36	2
0	1	0	1	37	2
3	1	7	2	5	2
1	3	3	2	195	2
2	0	3	3	173	2
2	1	2	2	147	1
0	3	0	1	284	2
2	1	3	2	166	1
1	3	4	2	39	2
2	3	3	2	232	1
3	2	1	2	266	1
2	0	3	3	24	1
2	0	6	3	68	1
3	2	1	2	153	2
3	0	4	3	225	2
0	2	0	1	157	2
0	1	0	1	141	1
0	2	0	1	179	1
2	1	7	2	108	1
3	1	4	2	258	2
2	0	7	3	299	1
0	3	0	1	202	1
2	0	6	3	263	1
2	0	6	3	216	1
3	1	4	2	21	2
0	2	0	1	80	2
2	0	2	3	295	2
2	1	5	2	110	2
0	1	0	1	225	2
0	2	0	1	46	2
3	2	5	2	123	1
1	2	5	2	44	1
0	3	0	1	285	2
0	3	0	1	140	1
1	0	4	3	128	1
2	0	3	3	155	1
0	1	0	1	318	1
2	3	6	2	295	1
1	3	5	2	274	2
3	2	1	2	282	1
3	1	6	2	62	2
2	3	4	2	294	1
2	3	2	2	261	1
2	1	1	2	158	2
3	2	5	2	48	1
1	0	6	3	101	2
2	0	6	3	125	2
3	2	3	2	276	2
0	3	0	1	303	2
2	1	4	2	300	2
0	3	0	1	285	2
2	0	7	3	58	2
1	2	2	2	134	2
1	0	5	3	63	1
0	2	0	1	251	2
2	1	5	2	95	2
0	3	0	1	221	1
3	1	1	2	178	2
2	3	4	2	224	1
1	0	6	3	313	2
3	2	3	2	305	2
3	0	3	3	125	1
2	3	7	2	188	1
1	3	6	2	216	1
3	1	4	2	26	1
3	0	3	3	75	1
1	0	6	3	299	1
3	2	1	2	152	2
2	3	3	2	62	2
0	3	0	1	216	1
1	3	7	2	102	1
1	0	7	3	193	2
1	0	1	3	53	1
2	0	6	3	279	1
3	0	4	3	92	1
0	3	0	1	304	2
3	2	5	2	174	1
2	1	5	2	305	2
2	3	6	2	146	2
0	1	0	1	256	1
1	3	5	2	36	2
3	1	6	2	279	2
0	1	0	1	223	2
1	0	6	3	103	2
1	2	5	2	301	1
0	3	0	1	113	1
1	2	2	2	148	2
1	0	7	3	40	1
0	2	0	1	146	2
1	3	3	2	243	1
1	2	5	2	28	1
1	0	4	3	226	1
3	2	1	2	163	2
1	2	4	2	242	1
0	2	0	1	174	1
1	2	7	2	75	2
0	2	0	1	164	1
3	2	2	2	130	2
3	1	7	2	20	1
1	2	6	2	233	1
1	2	7	2	47	1
2	1	1	2	40	1
0	1	0	1	133	1
1	2	3	2	189	2
3	1	5	2	83	1
3	2	7	2	14	1
2	0	2	3	297	2
2	3	5	2	123	2
1	0	7	3	310	2
1	2	2	2	21	1
2	3	5	2	92	2
0	3	0	1	138	2
1	0	1	3	240	1
0	1	0	1	242	2
1	2	5	2	160	1
2	3	3	2	178	2
0	1	0	1	16	2
0	3	0	1	24	2
3	1	7	2	167	2
2	1	1	2	173	1
0	2	0	1	104	2
3	1	2	2	258	1
3	0	2	3	45	2
2	0	6	3	32	2
0	2	0	1	158	1
2	0	1	3	179	1
2	3	6	2	73	2
2	3	2	2	128	2
2	0	6	3	288	2
0	1	0	1	160	1
0	2	0	1	178	1
2	0	1	3	81	1
0	2	0	1	254	1
0	2	0	1	15	2
0	2	0	1	131	1
1	3	5	2	103	2
1	2	3	2	150	1
2	0	1	3	57	1
2	0	2	3	166	2
