1node1	2node2	3port	4operation	5startwave	6bandwidth
0	2	0	1	203	6
0	1	0	1	13	2
0	3	0	1	299	5
0	2	0	1	127	2
1	0	7	3	272	6
2	1	1	2	79	1
1	2	1	2	235	3
1	2	4	2	247	6
2	1	3	2	52	3
3	2	2	2	283	1
1	2	7	2	260	2
1	0	1	3	28	4
3	1	2	2	0	6
3	1	2	2	304	6
0	3	0	1	221	2
2	3	5	2	73	3
1	3	5	2	145	1
0	3	0	1	97	3
3	2	3	2	191	3
0	2	0	1	157	4
0	1	0	1	61	5
1	2	7	2	186	4
3	2	2	2	236	6
1	0	5	3	223	5
0	2	0	1	118	2
2	1	7	2	170	3
3	2	2	2	262	6
1	0	4	3	119	3
1	2	4	2	129	1
2	0	6	3	285	4
0	2	0	1	312	1
1	2	2	2	63	1
2	0	1	3	75	3
1	3	2	2	210	4
0	1	0	1	261	3
2	0	7	3	103	5
0	1	0	1	209	3
0	3	0	1	263	6
3	0	1	3	273	4
2	1	6	2	271	6
0	3	0	1	300	2
1	2	4	2	233	1
3	0	2	3	288	3
2	1	6	2	240	4
2	0	7	3	16	5
3	0	4	3	229	5
2	0	2	3	107	2
1	0	5	3	178	2
2	3	1	2	157	1
3	1	6	2	195	5
1	3	2	2	66	1
3	1	4	2	136	5
3	1	3	2	142	5
0	2	0	1	118	3
2	0	7	3	293	6
3	0	5	3	14	4
2	3	6	2	189	6
0	2	0	1	280	4
3	0	2	3	309	1
1	0	1	3	82	1
2	0	2	3	43	1
1	3	1	2	153	6
0	3	0	1	149	4
0	1	0	1	271	5
0	2	0	1	191	2
0	3	0	1	34	2
3	2	1	2	283	3
3	1	5	2	134	4
1	2	3	2	163	6
2	0	2	3	81	1
2	1	4	2	254	5
0	1	0	1	10	1
1	3	1	2	172	4
1	0	7	3	290	1
2	0	7	3	245	1
0	1	0	1	154	5
0	1	0	1	205	3
3	0	2	3	99	1
1	0	7	3	150	3
2	1	2	2	199	2
3	2	5	2	87	6
2	1	3	2	273	3
3	2	4	2	98	3
3	2	4	2	211	4
3	0	2	3	185	3
2	3	7	2	57	3
0	1	0	1	71	5
0	2	0	1	152	2
0	2	0	1	168	6
1	3	5	2	269	4
2	3	5	2	184	3
3	2	2	2	145	4
3	2	3	2	231	4
2	3	3	2	284	3
3	2	3	2	57	6
1	0	1	3	10	3
0	2	0	1	111	5
1	2	7	2	175	5
3	2	7	2	220	5
3	0	4	3	269	6
0	1	0	1	275	5
3	0	5	3	93	4
1	0	7	3	22	1
0	2	0	1	226	4
0	2	0	1	126	6
