1node1	2node2	3port	4operation	5startwave	6bandwidth
2	1	1	2	1	3
1	0	6	3	285	2
3	0	5	3	282	3
1	0	4	3	72	3
1	0	1	3	308	2
1	2	6	2	208	2
2	0	3	3	125	1
1	2	7	2	215	2
0	1	0	1	24	4
3	2	5	2	21	4
1	0	6	3	150	4
1	0	7	3	264	4
1	3	6	2	246	2
1	3	1	2	228	1
2	1	5	2	303	3
3	0	4	3	85	3
1	0	4	3	230	1
1	0	4	3	89	4
1	2	6	2	294	2
3	2	5	2	3	3
1	2	2	2	210	4
2	1	1	2	258	3
2	1	7	2	55	3
2	3	2	2	6	2
0	1	0	1	151	2
2	3	4	2	264	3
0	2	0	1	150	3
0	3	0	1	190	4
3	0	5	3	173	2
0	1	0	1	264	2
1	3	7	2	134	4
0	2	0	1	2	1
2	1	4	2	80	4
2	0	7	3	251	1
0	3	0	1	6	3
1	3	6	2	300	1
0	2	0	1	77	1
2	1	1	2	76	3
3	1	2	2	54	4
2	0	3	3	235	1
3	2	6	2	99	4
3	2	6	2	97	2
1	3	7	2	18	2
2	0	7	3	225	3
0	2	0	1	78	1
3	0	3	3	47	3
0	2	0	1	297	1
2	1	5	2	92	1
0	1	0	1	36	4
2	0	7	3	122	1
0	1	0	1	160	1
0	2	0	1	274	2
1	3	5	2	154	4
0	1	0	1	16	3
3	2	7	2	179	4
0	3	0	1	235	4
2	0	6	3	231	2
3	0	5	3	152	1
3	0	1	3	66	1
0	3	0	1	178	2
3	2	6	2	182	3
2	0	3	3	37	3
0	2	0	1	224	2
2	1	1	2	244	3
2	1	4	2	300	2
0	3	0	1	173	3
1	3	4	2	11	1
3	0	5	3	290	2
1	2	4	2	81	4
0	2	0	1	214	2
3	1	3	2	110	3
2	0	7	3	264	4
3	2	2	2	77	3
3	1	4	2	50	3
0	2	0	1	201	2
0	1	0	1	118	1
2	3	2	2	182	1
2	0	1	3	282	2
1	0	5	3	243	4
2	3	6	2	249	1
3	1	6	2	207	1
2	3	4	2	251	2
2	3	1	2	111	3
3	1	4	2	134	1
2	0	6	3	70	1
0	3	0	1	226	1
0	2	0	1	220	2
2	1	6	2	136	1
0	3	0	1	185	3
0	2	0	1	87	3
3	1	2	2	310	2
0	2	0	1	22	2
3	0	3	3	77	2
2	0	6	3	75	3
2	0	3	3	317	3
2	0	1	3	93	2
0	2	0	1	118	2
1	3	7	2	248	4
3	1	5	2	144	1
0	1	0	1	187	2
1	2	7	2	307	3
0	1	0	1	78	1
2	0	1	3	124	4
1	0	4	3	57	1
1	3	4	2	78	3
2	0	2	3	290	1
0	1	0	1	80	1
0	3	0	1	138	4
1	2	1	2	137	2
0	3	0	1	1	4
1	2	7	2	268	4
2	0	1	3	294	1
0	1	0	1	123	1
2	1	1	2	265	2
1	2	2	2	0	2
2	1	2	2	12	3
1	2	6	2	127	1
1	2	3	2	6	3
2	3	5	2	253	3
1	2	2	2	106	3
0	2	0	1	284	3
2	0	1	3	100	4
3	1	3	2	179	3
3	2	4	2	122	1
3	0	2	3	262	4
3	1	6	2	202	3
3	0	3	3	263	1
0	1	0	1	51	1
3	0	3	3	300	4
0	1	0	1	225	2
3	0	1	3	1	4
3	2	7	2	282	2
3	1	3	2	275	1
2	0	3	3	108	4
1	3	1	2	4	2
2	1	5	2	34	2
0	1	0	1	120	2
2	3	6	2	194	2
0	3	0	1	78	1
2	3	7	2	280	4
3	2	4	2	28	4
1	0	7	3	192	3
0	2	0	1	93	2
2	0	3	3	47	4
0	2	0	1	258	2
2	1	7	2	181	1
2	0	6	3	168	1
0	1	0	1	129	1
1	3	2	2	314	1
2	1	5	2	118	2
0	3	0	1	214	1
1	3	3	2	192	3
2	1	2	2	260	2
3	2	7	2	265	4
2	0	7	3	18	2
0	1	0	1	4	1
2	3	5	2	161	1
2	3	2	2	142	4
2	3	4	2	162	2
3	0	2	3	195	3
2	0	2	3	303	4
0	2	0	1	125	4
0	1	0	1	64	1
2	0	6	3	244	4
1	2	5	2	35	1
1	0	6	3	294	1
1	3	3	2	57	4
1	3	6	2	215	2
2	1	4	2	315	4
1	0	7	3	14	3
2	1	1	2	249	3
0	2	0	1	3	3
1	3	3	2	224	1
1	3	3	2	17	3
0	3	0	1	316	4
0	1	0	1	276	2
2	3	1	2	293	1
2	0	2	3	37	3
0	1	0	1	47	2
0	1	0	1	2	4
0	3	0	1	240	4
1	3	7	2	128	3
2	0	7	3	313	3
3	2	3	2	154	4
1	3	5	2	86	4
0	3	0	1	145	2
2	0	7	3	293	4
0	2	0	1	158	2
3	0	2	3	260	4
2	3	4	2	75	4
0	3	0	1	267	1
3	1	3	2	24	4
3	1	6	2	98	2
0	3	0	1	186	3
2	3	7	2	74	3
3	1	2	2	171	2
1	2	1	2	114	1
1	2	2	2	41	3
