1node1	2node2	3port	4operation	5startwave	6bandwidth
2	3	1	2	137	3
2	1	4	2	314	3
3	0	1	3	284	3
1	3	7	2	203	3
3	2	2	2	102	3
0	1	0	1	224	2
1	3	1	2	46	3
3	1	3	2	104	3
0	3	0	1	234	2
1	2	3	2	307	1
2	3	2	2	192	2
1	0	7	3	15	3
1	2	5	2	153	1
2	3	4	2	165	3
1	0	6	3	138	2
0	3	0	1	220	3
0	2	0	1	12	3
1	3	2	2	176	2
3	0	4	3	121	2
0	1	0	1	208	3
1	0	6	3	251	2
3	2	2	2	251	3
0	2	0	1	306	1
0	2	0	1	298	1
2	3	2	2	300	1
1	0	4	3	304	2
3	0	5	3	132	3
3	0	1	3	73	1
2	3	4	2	59	2
1	0	6	3	175	3
1	3	4	2	250	2
1	3	5	2	211	3
3	0	5	3	234	2
2	0	3	3	214	3
2	3	7	2	250	1
0	2	0	1	140	3
1	2	1	2	279	2
1	3	1	2	33	2
0	3	0	1	73	2
2	0	6	3	142	1
0	1	0	1	75	1
0	3	0	1	314	3
0	1	0	1	110	2
2	1	1	2	116	3
1	2	2	2	114	2
0	2	0	1	122	1
1	2	2	2	228	3
1	0	4	3	24	2
3	1	4	2	124	2
2	3	5	2	174	3
3	0	4	3	263	1
2	3	5	2	299	1
2	1	2	2	229	3
2	1	3	2	20	2
3	2	2	2	298	2
1	2	1	2	100	2
1	3	7	2	82	3
3	1	3	2	32	2
1	0	1	3	83	1
2	0	3	3	289	2
1	2	5	2	23	1
3	0	4	3	152	3
2	3	7	2	171	3
2	1	4	2	143	1
1	3	3	2	139	2
2	3	4	2	117	3
1	3	4	2	144	3
2	3	6	2	179	2
3	2	6	2	111	1
0	2	0	1	203	3
1	0	1	3	182	1
1	0	1	3	196	3
0	2	0	1	119	3
3	2	2	2	16	1
2	3	7	2	10	1
0	3	0	1	77	2
3	1	4	2	91	2
2	0	2	3	172	1
3	2	3	2	4	3
1	3	6	2	282	3
1	2	4	2	140	2
1	0	7	3	111	3
3	2	2	2	266	3
0	2	0	1	124	1
3	0	2	3	166	1
3	2	4	2	110	2
3	0	2	3	32	3
3	2	4	2	256	1
1	3	5	2	297	2
1	0	4	3	120	2
0	2	0	1	138	1
0	1	0	1	294	3
3	0	3	3	2	2
0	2	0	1	283	1
0	2	0	1	225	2
3	2	1	2	207	1
3	2	2	2	55	2
0	3	0	1	209	1
0	3	0	1	294	3
1	3	6	2	31	1
2	0	3	3	239	1
3	0	3	3	46	3
1	3	1	2	177	3
1	0	7	3	178	2
2	3	3	2	60	3
3	2	6	2	64	1
3	2	7	2	236	1
2	0	6	3	305	2
2	1	2	2	120	1
1	3	2	2	62	1
3	2	5	2	241	2
1	2	6	2	10	2
2	3	4	2	88	2
2	3	6	2	223	1
3	0	2	3	246	2
1	2	7	2	97	1
3	1	1	2	314	2
2	1	7	2	253	3
2	1	2	2	140	2
0	1	0	1	70	3
1	3	3	2	133	3
2	3	4	2	87	1
3	0	4	3	215	3
2	0	1	3	225	2
1	2	3	2	132	2
2	0	2	3	39	1
0	3	0	1	171	3
3	0	2	3	43	3
0	3	0	1	247	3
0	3	0	1	193	2
0	3	0	1	146	3
1	3	1	2	231	3
3	2	3	2	207	3
2	1	5	2	183	3
0	1	0	1	47	3
3	2	5	2	206	3
3	1	7	2	189	3
1	2	7	2	157	3
3	1	3	2	193	3
2	1	5	2	230	2
2	0	7	3	108	2
3	2	3	2	273	1
3	0	1	3	129	3
0	3	0	1	194	3
0	1	0	1	303	2
1	3	3	2	52	2
2	1	6	2	140	1
0	3	0	1	118	1
0	2	0	1	294	1
3	0	1	3	278	1
3	1	2	2	45	1
0	2	0	1	310	3
0	2	0	1	127	1
3	0	5	3	197	2
0	3	0	1	251	3
3	1	2	2	232	1
3	0	2	3	291	2
3	2	5	2	197	2
2	1	2	2	176	3
3	1	1	2	42	3
0	2	0	1	99	3
0	1	0	1	274	3
3	2	5	2	174	2
2	3	3	2	19	2
1	2	1	2	27	2
3	2	3	2	317	1
1	3	3	2	47	3
2	0	6	3	148	3
1	0	1	3	98	3
2	1	2	2	2	2
3	0	5	3	16	1
1	2	6	2	152	1
1	2	4	2	158	2
1	3	3	2	109	1
3	2	4	2	49	2
3	2	5	2	283	1
2	1	6	2	251	2
0	2	0	1	174	2
2	0	7	3	295	1
1	2	1	2	32	2
3	0	5	3	140	3
2	1	3	2	8	3
3	2	3	2	104	2
0	1	0	1	214	1
1	3	2	2	284	2
1	0	1	3	171	2
1	0	4	3	192	1
0	2	0	1	144	3
0	2	0	1	213	2
0	1	0	1	314	3
1	0	4	3	2	2
2	3	5	2	208	1
1	0	1	3	225	2
1	2	5	2	219	3
1	0	6	3	37	2
2	3	1	2	275	1
2	1	4	2	199	1
1	0	1	3	304	3
0	1	0	1	182	3
3	2	1	2	291	1
0	3	0	1	232	3
2	1	6	2	85	2
2	1	1	2	80	2
3	0	2	3	212	3
3	1	5	2	132	1
3	2	5	2	226	2
1	3	1	2	296	1
0	3	0	1	193	1
2	3	7	2	179	2
2	0	7	3	250	1
1	0	4	3	140	1
2	1	4	2	237	1
3	1	2	2	123	3
0	3	0	1	225	3
0	3	0	1	162	3
2	1	5	2	285	1
0	1	0	1	272	1
3	0	3	3	17	3
1	2	6	2	30	1
3	1	5	2	211	2
2	1	4	2	141	3
2	0	1	3	105	3
2	3	1	2	49	1
1	0	6	3	79	3
3	2	6	2	310	3
0	3	0	1	196	1
3	1	3	2	165	2
2	0	1	3	105	2
1	2	4	2	277	3
0	3	0	1	145	2
0	2	0	1	34	1
1	0	1	3	86	2
2	1	3	2	315	1
0	2	0	1	165	2
2	1	4	2	173	2
2	0	6	3	119	1
0	3	0	1	43	1
1	2	7	2	231	3
3	0	5	3	62	2
2	1	3	2	308	1
3	2	5	2	205	3
0	1	0	1	78	2
2	3	5	2	263	3
2	0	2	3	165	1
2	0	1	3	272	1
2	0	3	3	61	3
2	0	6	3	271	3
2	1	2	2	230	3
3	0	4	3	101	2
0	2	0	1	275	1
2	1	5	2	81	1
0	2	0	1	69	3
0	2	0	1	313	2
1	0	7	3	262	1
2	1	2	2	290	1
0	2	0	1	285	2
2	3	4	2	305	2
1	2	7	2	314	2
0	3	0	1	82	1
1	2	1	2	174	2
3	2	5	2	9	3
0	1	0	1	143	2
2	3	3	2	227	3
0	1	0	1	306	2
0	3	0	1	43	2
2	0	2	3	24	3
3	2	2	2	86	2
0	2	0	1	29	2
0	2	0	1	287	1
2	3	6	2	317	2
0	1	0	1	65	2
3	0	4	3	245	2
3	1	4	2	202	1
2	0	6	3	303	3
3	1	1	2	174	1
2	1	6	2	65	3
3	2	2	2	106	2
0	2	0	1	297	1
1	0	6	3	64	2
2	1	6	2	197	3
2	0	3	3	33	3
1	2	2	2	99	2
3	2	5	2	151	3
2	1	1	2	79	3
2	3	4	2	313	3
0	1	0	1	62	1
0	3	0	1	250	1
2	0	1	3	48	2
0	1	0	1	171	3
1	0	6	3	248	1
0	2	0	1	126	3
0	3	0	1	42	3
3	1	7	2	249	2
3	0	3	3	105	1
2	1	7	2	42	3
3	1	1	2	175	1
0	3	0	1	248	2
2	0	3	3	149	1
3	2	5	2	23	1
0	3	0	1	126	2
1	3	1	2	87	2
0	2	0	1	70	2
2	3	7	2	88	3
2	3	4	2	148	2
3	2	6	2	128	3
2	1	6	2	270	3
2	1	2	2	264	1
0	3	0	1	87	2
0	2	0	1	114	2
1	3	2	2	31	1
0	2	0	1	125	3
2	3	3	2	127	3
3	1	6	2	142	1
1	0	6	3	298	1
3	0	3	3	164	3
1	2	1	2	223	1
1	2	3	2	90	2
3	1	1	2	14	1
3	0	3	3	111	3
3	1	3	2	148	1
0	1	0	1	171	1
0	3	0	1	130	1
1	2	2	2	118	1
3	0	2	3	82	3
3	2	6	2	169	3
3	1	3	2	155	3
0	2	0	1	14	2
0	3	0	1	305	1
2	0	1	3	130	3
3	1	4	2	309	3
3	2	2	2	294	2
3	0	1	3	153	1
3	2	5	2	159	2
0	3	0	1	285	1
3	1	7	2	46	3
2	0	1	3	220	1
3	1	3	2	298	1
1	3	2	2	248	1
0	1	0	1	47	1
3	0	1	3	313	1
1	3	1	2	153	2
3	2	3	2	132	2
1	2	3	2	103	1
1	0	6	3	186	3
3	0	4	3	32	3
2	0	2	3	45	2
0	1	0	1	110	3
1	2	2	2	35	2
2	0	3	3	303	1
1	0	7	3	15	1
3	1	5	2	52	1
2	3	4	2	45	2
0	1	0	1	33	3
2	3	7	2	223	1
0	2	0	1	99	3
2	1	2	2	45	2
3	1	2	2	203	2
0	3	0	1	203	1
2	3	1	2	133	3
2	0	7	3	43	3
2	3	2	2	290	3
2	0	3	3	90	2
0	3	0	1	239	3
0	1	0	1	145	3
3	2	5	2	197	3
3	0	1	3	178	2
2	0	6	3	234	3
0	2	0	1	219	2
0	1	0	1	212	1
1	3	4	2	254	3
0	1	0	1	61	2
0	3	0	1	237	3
2	1	5	2	225	2
0	1	0	1	73	1
1	0	5	3	45	2
1	3	2	2	312	1
1	3	5	2	115	2
2	1	1	2	226	1
3	1	6	2	245	2
1	0	7	3	238	1
3	1	4	2	65	2
2	0	7	3	72	2
1	3	4	2	8	1
3	2	2	2	76	1
1	2	1	2	160	1
3	1	1	2	50	2
0	2	0	1	300	3
3	0	1	3	75	1
3	0	1	3	241	1
1	0	5	3	249	1
2	3	3	2	24	3
0	3	0	1	186	1
1	3	5	2	149	2
1	0	5	3	151	2
3	2	6	2	231	3
2	1	6	2	101	1
1	0	6	3	159	3
1	3	1	2	18	3
2	0	1	3	38	1
1	0	1	3	255	2
1	3	5	2	293	3
3	1	6	2	94	1
3	0	1	3	122	3
2	0	2	3	281	1
3	1	1	2	85	3
0	1	0	1	15	3
0	2	0	1	250	2
3	2	6	2	14	2
3	0	1	3	97	1
1	3	2	2	252	3
3	2	6	2	106	3
2	1	5	2	142	2
2	1	4	2	23	3
3	0	2	3	269	2
1	0	7	3	99	2
1	0	4	3	205	2
0	3	0	1	117	2
0	3	0	1	159	3
2	1	1	2	280	2
2	1	6	2	241	3
3	1	3	2	50	3
0	3	0	1	153	3
0	2	0	1	93	1
0	2	0	1	248	2
2	1	1	2	65	1
0	1	0	1	32	1
2	1	5	2	243	2
0	2	0	1	168	2
1	3	5	2	241	2
2	3	3	2	40	3
2	3	1	2	105	3
3	2	2	2	102	2
3	2	2	2	226	2
2	0	3	3	58	3
1	3	7	2	154	3
3	1	2	2	5	2
0	3	0	1	208	2
3	1	2	2	139	3
2	1	2	2	210	3
1	2	3	2	241	3
0	3	0	1	250	2
0	1	0	1	32	1
1	2	3	2	75	3
3	2	5	2	274	3
1	2	7	2	174	3
2	0	7	3	214	1
2	1	1	2	303	3
2	1	6	2	309	2
2	3	1	2	24	2
1	0	7	3	312	1
3	0	2	3	227	2
0	1	0	1	159	3
1	0	5	3	38	1
2	0	1	3	159	2
2	1	2	2	304	3
2	1	3	2	179	2
1	0	6	3	61	2
0	3	0	1	198	1
1	3	2	2	296	2
0	2	0	1	67	3
1	0	4	3	29	3
0	2	0	1	149	1
2	0	2	3	247	1
0	1	0	1	5	3
2	0	6	3	2	3
1	0	5	3	65	3
1	0	7	3	207	1
2	3	3	2	225	2
1	0	5	3	264	3
2	3	3	2	119	3
1	0	7	3	261	3
1	3	6	2	61	1
2	1	2	2	217	3
1	2	3	2	233	3
0	1	0	1	26	3
0	2	0	1	225	1
2	0	1	3	267	3
1	2	7	2	1	3
3	1	4	2	179	2
3	2	3	2	250	2
3	2	2	2	12	3
1	3	6	2	271	2
2	3	4	2	193	1
2	3	1	2	270	1
0	2	0	1	263	1
0	2	0	1	16	2
0	1	0	1	56	2
1	2	2	2	31	3
0	2	0	1	77	3
1	3	2	2	186	3
0	1	0	1	125	3
2	3	3	2	255	2
2	0	3	3	178	3
3	1	5	2	249	3
2	0	2	3	132	3
2	1	6	2	172	2
2	3	5	2	106	3
1	2	7	2	176	2
0	3	0	1	205	2
0	1	0	1	21	2
0	2	0	1	98	3
3	2	2	2	96	2
0	1	0	1	310	3
0	2	0	1	26	3
2	0	3	3	42	2
1	0	5	3	113	3
1	2	2	2	2	2
1	3	6	2	259	1
3	2	4	2	106	1
3	0	5	3	138	3
1	3	3	2	297	2
3	1	4	2	123	2
0	2	0	1	47	2
1	0	5	3	101	1
0	2	0	1	8	2
3	2	6	2	276	1
0	2	0	1	118	2
1	0	7	3	212	3
3	2	3	2	146	3
0	1	0	1	283	2
3	1	3	2	111	2
0	3	0	1	219	1
1	3	6	2	315	2
1	0	7	3	139	3
2	0	7	3	67	1
2	0	7	3	73	3
1	3	4	2	102	3
1	3	3	2	170	1
1	0	7	3	82	3
3	1	4	2	250	1
0	1	0	1	194	3
2	1	3	2	298	3
1	0	4	3	259	2
3	1	6	2	317	1
3	2	7	2	144	3
1	0	7	3	72	3
0	2	0	1	125	3
3	1	7	2	291	1
0	3	0	1	43	1
2	3	6	2	200	2
3	0	4	3	209	3
1	2	6	2	202	1
2	1	2	2	255	1
1	2	4	2	213	1
0	3	0	1	241	3
3	1	6	2	219	1
2	0	6	3	83	1
1	0	4	3	260	3
2	1	3	2	258	2
0	2	0	1	130	1
2	1	4	2	261	3
3	0	2	3	280	2
2	1	2	2	65	1
0	2	0	1	239	1
0	1	0	1	290	3
1	3	7	2	202	1
0	2	0	1	210	2
3	0	4	3	93	2
0	2	0	1	119	1
2	1	3	2	225	1
2	3	6	2	135	2
2	0	6	3	269	2
1	2	4	2	307	3
1	3	2	2	220	3
0	1	0	1	306	3
2	1	5	2	213	1
1	3	3	2	128	1
0	2	0	1	220	1
2	3	4	2	36	2
3	1	4	2	46	3
3	1	7	2	222	1
3	1	7	2	261	3
3	0	1	3	13	2
3	2	3	2	188	3
3	2	4	2	251	3
1	0	7	3	158	1
0	3	0	1	296	3
2	0	7	3	97	2
3	2	4	2	257	2
0	1	0	1	167	1
1	0	6	3	14	3
3	2	7	2	299	2
2	0	3	3	224	2
0	1	0	1	76	2
2	3	7	2	15	1
0	3	0	1	206	1
2	1	1	2	152	2
0	2	0	1	158	3
2	3	6	2	196	3
0	2	0	1	215	2
1	2	1	2	258	1
0	1	0	1	284	3
3	2	2	2	121	1
3	2	1	2	273	2
2	1	4	2	27	1
2	0	2	3	305	2
1	2	6	2	82	3
3	0	5	3	21	1
1	2	4	2	169	1
3	2	6	2	82	2
1	0	7	3	166	2
3	1	7	2	53	3
2	0	3	3	223	3
2	3	3	2	126	1
2	0	3	3	75	3
2	0	6	3	23	3
1	2	5	2	171	2
1	2	7	2	64	2
0	2	0	1	131	2
0	3	0	1	279	3
2	0	1	3	240	2
2	0	1	3	139	1
