1node1	2node2	3port	4operation	5startwave	6bandwidth
0	3	0	1	269	1
1	2	2	2	129	2
0	1	0	1	145	1
3	2	6	2	207	1
0	3	0	1	181	1
2	0	7	3	207	2
2	3	3	2	71	1
1	3	2	2	219	2
1	3	6	2	180	1
0	1	0	1	198	1
2	3	4	2	205	1
2	1	6	2	198	2
3	1	6	2	115	1
0	1	0	1	266	2
1	3	2	2	86	2
3	2	2	2	278	1
0	3	0	1	75	1
0	1	0	1	216	2
3	2	6	2	311	1
1	3	2	2	251	2
0	2	0	1	288	1
0	3	0	1	20	1
0	1	0	1	112	1
1	0	4	3	126	1
1	2	1	2	6	2
3	0	3	3	181	1
0	1	0	1	225	1
0	3	0	1	255	2
3	0	1	3	96	2
3	1	6	2	11	1
1	3	7	2	238	1
0	2	0	1	25	2
2	1	7	2	110	2
3	1	2	2	22	2
1	3	1	2	280	2
1	2	6	2	196	1
2	0	3	3	45	2
2	1	6	2	174	2
1	3	3	2	231	1
1	2	7	2	57	1
1	2	2	2	286	1
2	1	7	2	215	2
3	2	3	2	45	2
1	2	4	2	31	1
3	1	4	2	29	1
2	0	2	3	154	2
1	2	4	2	199	1
3	1	4	2	130	1
1	3	7	2	319	1
0	1	0	1	65	2
2	1	6	2	177	1
1	2	5	2	29	1
2	1	6	2	17	2
3	2	5	2	109	1
2	0	3	3	230	1
1	3	2	2	39	2
3	0	2	3	172	1
1	2	3	2	82	2
3	0	2	3	249	1
2	3	2	2	162	1
3	2	5	2	17	2
1	3	6	2	35	1
1	3	4	2	125	2
1	2	3	2	308	2
2	0	7	3	117	2
0	2	0	1	217	2
1	0	5	3	105	1
0	2	0	1	199	2
2	1	7	2	307	2
0	1	0	1	124	2
0	1	0	1	75	2
2	1	2	2	312	1
2	3	5	2	28	1
0	1	0	1	41	1
0	1	0	1	19	2
3	1	7	2	295	2
2	0	6	3	217	1
3	0	3	3	62	1
3	2	2	2	265	1
3	2	2	2	31	1
2	3	3	2	284	2
0	2	0	1	190	2
1	2	5	2	131	1
2	1	3	2	198	2
1	0	4	3	18	2
0	2	0	1	121	2
0	3	0	1	101	2
2	1	6	2	293	1
0	3	0	1	253	1
3	2	5	2	129	1
3	0	4	3	206	2
3	1	4	2	260	2
0	2	0	1	97	2
0	1	0	1	119	1
0	1	0	1	18	2
3	1	3	2	105	1
0	1	0	1	126	2
1	3	6	2	197	1
0	2	0	1	193	2
2	0	1	3	33	1
