1node1	2node2	3port	4operation	5startwave	6bandwidth
2	3	4	2	207	18
1	3	5	2	120	60
3	2	5	2	77	57
1	3	7	2	92	50
2	1	7	2	153	32
3	2	4	2	194	32
0	3	0	1	266	35
3	2	2	2	85	61
2	1	7	2	243	67
3	0	3	3	91	63
0	1	0	1	9	67
3	2	2	2	165	56
0	3	0	1	210	28
0	1	0	1	261	10
0	3	0	1	89	7
1	3	3	2	190	15
0	2	0	1	225	51
1	0	5	3	5	27
1	0	5	3	199	56
2	0	6	3	88	55
2	1	4	2	213	30
3	2	7	2	92	23
2	1	1	2	114	31
1	3	4	2	178	23
2	3	3	2	57	1
3	1	3	2	173	36
1	3	1	2	117	41
0	3	0	1	72	29
0	2	0	1	249	51
3	2	2	2	279	33
1	0	7	3	13	35
1	0	6	3	213	23
1	0	5	3	6	32
0	3	0	1	219	20
2	0	1	3	25	52
2	3	6	2	110	10
1	0	7	3	26	14
0	3	0	1	135	37
2	1	3	2	42	39
1	2	6	2	7	20
0	3	0	1	148	66
2	1	7	2	70	61
3	2	6	2	37	55
2	0	1	3	40	15
0	3	0	1	177	60
0	3	0	1	46	56
0	3	0	1	70	25
3	2	5	2	6	8
0	3	0	1	15	12
2	1	2	2	278	31
0	3	0	1	211	41
1	3	1	2	263	13
0	2	0	1	199	5
2	0	2	3	103	39
2	1	6	2	256	26
0	2	0	1	21	30
3	2	1	2	63	6
2	0	6	3	147	5
2	3	6	2	20	61
2	3	5	2	58	45
3	1	3	2	222	64
0	2	0	1	168	42
0	3	0	1	180	22
0	2	0	1	197	7
1	0	7	3	173	23
1	2	3	2	136	23
2	3	5	2	136	28
1	3	4	2	242	33
2	0	3	3	154	5
1	2	5	2	187	2
1	3	4	2	12	64
3	1	3	2	106	56
2	3	5	2	26	15
3	1	5	2	140	49
3	2	2	2	42	10
0	1	0	1	70	12
2	1	2	2	258	37
3	0	5	3	20	60
1	0	1	3	171	48
2	1	2	2	45	6
1	2	4	2	61	24
1	2	6	2	256	15
2	0	3	3	202	32
2	0	1	3	258	34
0	2	0	1	60	38
0	1	0	1	154	41
2	3	4	2	81	6
1	3	4	2	227	37
2	3	5	2	203	63
1	3	1	2	247	19
1	3	1	2	12	35
3	0	3	3	31	64
0	1	0	1	254	2
2	0	1	3	76	60
0	2	0	1	149	19
3	2	1	2	3	1
2	3	3	2	243	27
0	3	0	1	297	19
1	3	7	2	177	5
0	3	0	1	114	16
