1node1	2node2	3port	4operation	5startwave	6bandwidth
3	0	5	3	196	3
3	2	6	2	134	6
0	2	0	1	97	7
2	0	7	3	230	7
3	0	5	3	24	15
3	1	1	2	170	12
2	0	2	3	102	10
0	3	0	1	155	16
3	2	7	2	84	15
1	2	5	2	56	8
2	0	3	3	98	16
0	1	0	1	10	5
1	0	4	3	285	12
3	0	4	3	2	10
0	1	0	1	115	13
0	3	0	1	92	5
3	0	4	3	76	13
0	1	0	1	263	13
2	3	2	2	174	7
2	1	4	2	177	3
1	0	5	3	24	16
1	2	3	2	10	8
2	0	1	3	97	16
1	2	1	2	252	13
1	2	4	2	107	13
2	1	2	2	69	15
3	2	5	2	253	7
0	2	0	1	271	12
2	0	3	3	168	9
2	1	4	2	272	8
0	3	0	1	47	1
3	1	4	2	184	8
1	2	1	2	107	16
1	3	1	2	231	12
2	3	6	2	139	2
2	0	2	3	87	7
3	0	2	3	19	16
2	3	4	2	195	13
3	0	4	3	72	7
0	3	0	1	176	15
0	3	0	1	310	1
2	0	2	3	238	16
3	1	5	2	95	15
0	1	0	1	113	7
1	3	6	2	313	7
0	1	0	1	310	1
3	1	3	2	301	1
1	2	6	2	65	4
1	3	3	2	34	11
0	2	0	1	159	11
3	1	3	2	199	3
2	1	4	2	231	2
0	3	0	1	255	16
3	1	1	2	123	16
2	3	7	2	72	8
3	1	7	2	297	15
3	2	4	2	274	5
3	2	5	2	216	8
1	2	2	2	59	9
0	3	0	1	261	6
0	3	0	1	81	16
2	1	3	2	168	6
0	2	0	1	247	5
1	0	6	3	135	15
3	1	1	2	167	8
1	2	2	2	213	13
3	0	5	3	132	5
3	0	4	3	195	9
3	2	2	2	257	4
3	1	5	2	30	9
0	3	0	1	66	4
1	0	7	3	187	10
1	0	1	3	141	9
3	0	4	3	101	14
0	2	0	1	115	5
3	0	4	3	54	2
0	1	0	1	258	1
2	3	1	2	90	5
1	2	5	2	257	5
0	2	0	1	39	1
2	0	6	3	204	4
2	1	6	2	203	8
3	0	2	3	270	10
2	0	2	3	159	6
0	1	0	1	73	13
1	0	4	3	68	10
3	2	6	2	8	7
2	3	2	2	256	2
1	3	5	2	185	7
2	0	1	3	238	4
3	1	1	2	37	15
3	0	4	3	18	10
1	3	5	2	211	16
0	1	0	1	110	3
3	2	3	2	277	12
1	3	5	2	143	7
3	1	1	2	244	5
3	1	6	2	0	5
2	1	4	2	285	12
2	0	1	3	280	15
1	2	2	2	146	1
3	1	2	2	292	8
1	2	3	2	159	15
3	1	5	2	43	10
3	1	3	2	66	3
3	0	4	3	4	10
1	2	1	2	159	4
1	3	5	2	89	13
2	0	7	3	235	6
2	1	2	2	95	12
3	1	6	2	306	1
1	0	6	3	186	14
1	0	1	3	259	8
0	3	0	1	37	9
3	0	1	3	157	14
1	0	6	3	18	5
0	1	0	1	296	13
2	0	2	3	91	4
3	2	6	2	184	8
2	1	1	2	304	7
1	2	5	2	86	2
1	0	5	3	52	11
2	3	2	2	81	7
1	2	3	2	91	7
2	0	7	3	122	9
1	0	6	3	21	2
3	2	4	2	35	8
2	1	2	2	302	6
2	3	5	2	33	6
2	0	7	3	312	2
1	0	6	3	170	15
0	2	0	1	39	8
2	3	5	2	124	1
3	0	2	3	3	1
1	0	6	3	229	2
0	1	0	1	163	2
2	3	1	2	109	2
1	2	3	2	44	11
3	0	4	3	195	15
1	2	7	2	21	13
