1node1	2node2	3port	4operation	5startwave	6bandwidth
3	2	7	2	232	3
2	1	7	2	258	4
0	1	0	1	233	4
3	0	3	3	226	1
2	0	7	3	87	1
2	0	7	3	50	4
0	3	0	1	96	1
0	1	0	1	315	4
1	0	7	3	259	1
1	2	5	2	121	4
0	1	0	1	114	3
1	2	7	2	263	1
0	2	0	1	101	1
1	3	1	2	104	4
2	3	1	2	211	2
2	3	3	2	82	3
3	1	1	2	3	3
1	0	1	3	290	1
3	2	3	2	153	2
3	2	7	2	202	4
0	3	0	1	116	1
0	2	0	1	104	4
3	2	5	2	164	2
0	1	0	1	75	1
0	1	0	1	111	4
1	2	3	2	305	3
0	1	0	1	163	3
1	3	1	2	286	2
1	2	1	2	55	2
3	0	3	3	305	4
0	1	0	1	291	4
1	0	1	3	264	4
2	3	1	2	112	1
2	3	5	2	277	4
0	3	0	1	154	2
1	3	6	2	127	2
1	0	7	3	185	4
3	2	1	2	124	2
1	0	6	3	150	3
3	0	3	3	121	2
2	3	6	2	285	1
0	3	0	1	290	4
1	3	7	2	239	4
3	1	7	2	129	4
3	1	7	2	127	4
1	2	3	2	119	3
2	0	1	3	5	1
2	0	7	3	181	4
3	0	5	3	45	1
0	2	0	1	64	1
2	3	5	2	49	3
1	2	4	2	146	1
3	0	2	3	136	4
1	2	7	2	221	3
0	2	0	1	145	1
2	3	2	2	101	1
3	2	7	2	23	1
2	0	3	3	167	1
2	0	2	3	225	3
3	2	6	2	1	2
0	3	0	1	236	2
0	1	0	1	258	2
2	1	1	2	275	1
1	3	6	2	129	4
3	2	6	2	142	2
2	1	5	2	63	1
2	3	6	2	283	4
3	1	5	2	131	4
3	0	4	3	276	4
1	3	7	2	96	3
1	0	4	3	130	1
3	2	4	2	151	1
0	2	0	1	81	4
1	0	5	3	199	3
0	1	0	1	314	3
0	3	0	1	141	2
0	3	0	1	278	2
1	0	6	3	250	1
2	3	3	2	187	4
3	0	3	3	130	1
0	2	0	1	44	4
0	3	0	1	151	4
0	3	0	1	159	1
1	2	5	2	273	3
1	2	2	2	4	4
2	3	6	2	276	3
2	0	2	3	140	2
3	2	2	2	43	2
0	2	0	1	206	3
3	0	2	3	299	2
1	3	3	2	41	4
3	2	2	2	106	1
0	1	0	1	61	2
1	3	1	2	266	2
1	3	1	2	308	2
3	0	1	3	79	2
0	1	0	1	286	1
0	2	0	1	149	1
3	2	2	2	176	3
0	1	0	1	260	2
1	2	1	2	48	3
0	2	0	1	184	3
2	3	4	2	303	4
3	2	6	2	68	1
1	2	4	2	232	4
2	1	4	2	264	4
3	1	3	2	239	2
3	2	2	2	177	2
1	0	7	3	283	1
3	2	3	2	198	2
2	3	6	2	16	1
1	3	6	2	201	3
2	3	1	2	163	1
3	1	2	2	203	3
1	2	3	2	67	2
0	3	0	1	63	4
2	1	6	2	165	1
1	3	6	2	180	1
0	3	0	1	2	4
2	1	3	2	187	1
3	0	4	3	317	3
0	3	0	1	167	1
0	1	0	1	2	1
0	1	0	1	15	3
1	0	7	3	62	4
3	0	2	3	158	2
2	3	5	2	239	4
0	2	0	1	250	1
1	0	5	3	226	1
0	1	0	1	77	1
1	2	5	2	7	3
3	0	2	3	122	1
