2,3,1
6,1,16
9,3,2
12,13,1
9,8,4
4,5,4
10,2,16
8,6,4
10,3,4
5,2,2
10,5,2
6,0,1
3,7,4
5,2,2
10,5,1
2,3,2
10,7,1
6,8,2
1,7,16
13,7,4
12,4,1
2,13,4
6,0,1
8,2,2
7,4,2
2,6,16
5,0,2
4,11,4
1,9,16
1,13,4
9,5,2
11,12,2
8,9,4
13,0,2
6,1,4
3,0,4
7,9,2
7,6,2
7,2,1
6,2,4
1,11,16
13,4,4
11,8,16
10,0,2
7,0,2
1,9,2
0,7,2
4,13,2
0,9,4
3,11,1
13,1,4
1,9,1
13,10,16
0,6,16
3,1,4
11,12,16
7,2,2
13,0,16
5,3,16
0,7,16
12,11,1
11,1,4
2,11,2
6,7,16
4,5,16
3,8,1
8,13,2
8,7,2
11,3,1
4,8,1
9,11,1
0,3,1
6,1,1
4,11,1
4,7,16
11,3,16
1,3,16
2,13,4
13,3,1
3,1,16
11,5,16
13,6,2
9,7,4
1,0,16
10,3,1
8,1,16
3,12,1
0,7,4
10,1,1
0,2,2
11,6,16
13,1,4
0,7,2
6,12,16
2,6,2
10,2,16
8,11,16
13,4,4
9,13,4
4,12,16
2,9,2
13,6,16
1,2,1
7,2,1
10,8,2
7,10,16
12,1,4
3,5,2
9,11,2
13,7,1
3,11,16
9,0,16
7,0,4
1,0,1
7,2,16
2,8,16
13,6,2
6,1,2
12,4,1
6,4,4
6,3,16
8,6,1
12,0,2
9,8,4
1,5,16
5,9,2
1,2,4
13,3,1
7,5,16
4,8,4
1,7,4
0,6,1
4,2,1
1,0,16
2,9,2
11,5,4
11,2,2
13,3,2
9,7,16
9,0,1
13,5,1
7,11,16
9,2,1
8,6,4
0,10,2
5,9,1
13,1,4
2,4,4
6,11,16
13,7,1
6,1,16
11,6,1
10,8,2
12,2,2
3,8,4
10,12,1
13,4,1
5,12,4
13,2,16
6,10,2
13,0,4
9,4,2
12,7,4
2,7,2
11,12,2
13,8,2
1,3,16
9,7,1
5,0,2
4,2,1
2,9,2
13,5,16
5,8,2
2,11,1
8,2,16
6,7,16
5,10,2
11,10,2
2,9,4
11,7,4
4,11,1
12,0,1
5,10,1
0,10,2
0,13,1
13,8,1
7,0,4
12,4,16
12,4,2
9,11,4
8,10,4
2,8,1
8,1,4
6,10,2
5,13,16
9,13,16
2,12,4
2,1,4
1,13,4
2,5,2
