
1	0	1	0	1	2	223	4
2	3	1	1	2	3	59	4
3	1	2	1	2	2	147	32
4	3	1	6	2	3	202	32
5	0	2	0	1	2	284	3
6	3	1	6	2	3	3	4
7	2	0	2	3	0	120	8
8	0	3	0	1	2	99	3
9	2	3	5	2	3	230	32
10	0	2	0	1	3	36	32
11	2	3	1	2	3	45	8
12	0	2	0	1	2	282	8
13	0	1	0	1	2	213	8
14	3	0	3	3	0	115	4
15	2	1	4	2	3	229	32
16	0	3	0	1	2	74	8
17	1	2	2	2	3	120	3
18	1	0	1	3	0	255	3
19	1	0	1	3	0	2	32
20	0	1	0	1	2	80	32
21	1	2	2	2	3	262	32
22	2	3	5	2	3	281	8
23	2	0	2	3	0	31	4
24	3	2	7	2	3	26	32
25	1	2	2	2	2	35	4
26	1	0	1	3	0	281	32
27	0	3	0	1	2	146	32
28	3	0	3	3	0	289	8
29	2	3	5	2	3	116	3
30	2	1	4	2	2	8	8
31	1	0	1	3	0	263	8
32	2	0	2	3	0	269	3
33	0	1	0	1	2	189	32
34	0	2	0	1	2	170	32
35	1	3	3	2	3	244	3
36	3	1	6	2	2	249	4
37	1	0	4	3	0	310	4
38	0	3	0	1	2	119	8
39	0	1	0	1	2	42	8
40	0	2	0	1	2	33	32
41	1	2	1	2	2	307	8
42	1	2	2	2	3	31	4
43	3	2	1	2	3	175	32
44	2	0	1	3	0	263	4
45	1	0	5	3	0	18	8
46	0	2	0	1	2	64	4
47	0	2	0	1	3	174	32
48	0	1	0	1	2	217	3
49	1	0	1	3	0	231	4
50	0	2	0	1	3	121	3
51	0	3	0	1	2	256	32
52	0	3	0	1	2	46	8
53	2	0	1	3	0	235	3
54	2	3	5	2	2	159	32
55	3	2	7	2	2	113	8
56	1	2	2	2	3	85	3
57	0	2	0	1	2	253	32
58	2	0	2	3	0	228	3
59	3	1	6	2	3	73	32
60	0	2	0	1	2	142	8
